Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:04:20.5199913,45.81434,0.0352819,-0.03647295,-0.1300869,8.365905,2.672098,359.5501,0.101919,-0.4173107,0.04104229,353.2055,3.968358,354.7545,0,0
2018/07/10 - 11:04:20.5309546,45.82468,0.03517791,-0.03648074,-0.1300453,8.37851,2.557526,359.5628,0.1014524,-0.4170909,0.04082596,353.0004,3.975522,354.8954,0,0
2018/07/10 - 11:04:20.5429382,45.83597,0.03509186,-0.03652128,-0.130022,8.392315,2.508425,359.5755,0.1006583,-0.4169184,0.04042708,352.6776,4.00179,355.2908,0,0
2018/07/10 - 11:04:20.5528892,45.84772,0.0350192,-0.03652926,-0.1300178,8.442826,2.35388,359.5291,0.0997711,-0.4167016,0.03993049,352.2684,3.944275,355.774,0,0
2018/07/10 - 11:04:20.5648762,45.85824,0.03497369,-0.03662612,-0.1300052,8.40566,2.357164,359.5317,0.09880701,-0.4164068,0.03933581,351.9638,3.740802,356.1492,0,0
2018/07/10 - 11:04:20.5758276,45.86935,0.03491026,-0.03661985,-0.1299825,8.456222,2.289379,359.5131,0.0979749,-0.41605,0.03877287,351.7185,3.457741,356.2855,0,0
2018/07/10 - 11:04:20.5867980,45.88049,0.03482921,-0.03664304,-0.129908,8.456276,2.268265,359.494,0.09705891,-0.4155669,0.03820638,351.5481,2.919526,356.0919,0,0
2018/07/10 - 11:04:20.5977687,45.89156,0.03472831,-0.03666553,-0.1297975,8.464573,2.18093,359.454,0.09608635,-0.4151095,0.0376742,351.4314,2.387312,356.0372,0,0
2018/07/10 - 11:04:20.6087403,45.90239,0.03465717,-0.03676416,-0.1296635,8.44445,2.10799,359.5042,0.09494179,-0.4146519,0.03700045,351.0949,1.79155,356.1812,0,0
2018/07/10 - 11:04:20.6207071,45.91396,0.03457388,-0.03680985,-0.1296211,8.473624,2.059549,359.4865,0.09367263,-0.4142144,0.03630833,350.7129,1.209018,356.5896,0,0
2018/07/10 - 11:04:20.6306814,45.92509,0.03448711,-0.03686883,-0.1295998,8.542249,2.005386,359.4745,0.09257215,-0.4138179,0.03569836,350.4633,0.6083156,356.8763,0,0
2018/07/10 - 11:04:20.6426696,45.93599,0.03444253,-0.03696815,-0.1296206,8.613699,1.923712,359.4723,0.0917716,-0.4134529,0.0352504,350.4514,359.9723,356.7843,0,0
2018/07/10 - 11:04:20.6526228,45.94714,0.03440784,-0.03708104,-0.1296244,8.637081,1.870443,359.4729,0.0911877,-0.4130354,0.03495118,350.5204,359.3284,356.5248,0,0
2018/07/10 - 11:04:20.6645899,45.95805,0.03434056,-0.03711363,-0.1295908,8.666532,1.81512,359.424,0.090898,-0.4125725,0.03485776,350.6538,358.7224,356.157,0,0
2018/07/10 - 11:04:20.6755604,45.96906,0.03428668,-0.03712052,-0.1295857,8.67518,1.808535,359.4125,0.09068058,-0.4120756,0.03482706,350.6899,358.2737,355.9117,0,0
2018/07/10 - 11:04:20.6865308,45.98078,0.03425573,-0.03715424,-0.1295849,8.682405,1.758365,359.4109,0.09058825,-0.4115216,0.03487853,350.4959,358.1201,355.9802,0,0
2018/07/10 - 11:04:20.6994972,45.99163,0.03423576,-0.03720997,-0.1296007,8.659398,1.712433,359.4194,0.0904986,-0.4110187,0.03483953,350.1974,358.1845,356.2941,0,0
2018/07/10 - 11:04:20.7084725,46.00314,0.03420745,-0.0372039,-0.1296348,8.680295,1.711622,359.4249,0.0905587,-0.41046,0.03493958,349.9353,358.5,356.7455,0,0
2018/07/10 - 11:04:20.7204408,46.01384,0.03414251,-0.03722468,-0.1296726,8.685713,1.631239,359.411,0.09073859,-0.4097671,0.03517819,349.86,358.7137,356.9695,0,0
2018/07/10 - 11:04:20.7314106,46.02511,0.0340673,-0.03719653,-0.1297062,8.706887,1.612416,359.4261,0.09105016,-0.4089753,0.03532561,349.811,358.7919,356.9437,0,0
2018/07/10 - 11:04:20.7423825,46.03626,0.03400635,-0.03720091,-0.1297301,8.688836,1.568949,359.4622,0.09121729,-0.4082351,0.03522282,349.4722,358.6569,356.9717,0,0
