Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 04:00:24.299836,182.1479,29,26,Peer hit peer's target,1.081471,0.3399154,-0.7091631,343.3112,321.3142,359.3117,0.9895898,0.007952459,-0.4471943,338.8645,318.0214,355.4939
2018/06/21 - 04:00:24.668869,182.5213,29,27,Peer hit peer's target,1.081112,0.3433534,-0.7061451,340.3697,314.8924,356.3918,0.9989115,-0.003867716,-0.4374701,340.6226,317.5686,355.4145
2018/06/21 - 04:00:24.958077,182.8101,29,28,Peer hit peer's target,1.084154,0.3453269,-0.7140479,338.4578,302.8032,357.5001,0.9597927,-0.001257404,-0.4639331,340.2416,307.8738,355.1276
2018/06/21 - 04:00:25.390628,183.2431,29,29,Peer hit peer's target,1.083709,0.3439811,-0.7143818,339.3506,291.1106,358.8638,0.8979883,-0.001687234,-0.51797,341.6307,291.5357,355.0822
2018/06/21 - 04:00:27.257463,185.1103,29,30,Peer hit peer's target,1.15371,0.3375231,-0.7614445,346.1877,54.12453,354.2169,1.459453,-0.0101574,-0.5629188,348.0101,50.44008,354.818
2018/06/21 - 04:00:28.115155,185.9667,30,30,User hit user's target,1.095687,0.3462218,-0.7411584,339.5023,16.19285,1.789406,1.221978,0.06094428,-0.4738741,331.0152,2.56866,3.162242
2018/06/21 - 04:00:28.736002,186.5887,30,31,Peer hit peer's target,1.085927,0.339351,-0.7391726,341.4717,341.1385,8.739148,1.093475,-0.01122023,-0.4644051,341.8857,331.1199,4.340444
2018/06/21 - 04:00:29.514927,187.3669,30,32,Peer hit peer's target,1.103392,0.3538508,-0.7493273,330.9116,334.9661,0.5463597,1.054914,0.1084633,-0.4270545,324.4241,334.7253,357.5215
2018/06/21 - 04:00:29.747962,187.6007,29,32,User missed,1.099469,0.3486522,-0.7390122,336.3552,335.2507,359.4789,1.046462,-0.01457249,-0.4159607,350.9057,331.779,353.1866
2018/06/21 - 04:00:30.202211,188.0554,28,32,User missed,1.09399,0.3360915,-0.711151,348.2887,330.2367,359.2184,1.001479,-0.106427,-0.4844555,6.423607,310.861,359.9476
2018/06/21 - 04:00:30.813555,188.6661,29,32,User hit user's target,1.051613,0.298979,-0.7029404,10.21145,301.9721,356.7465,0.9409611,-0.1672582,-0.5972576,17.46664,286.1051,355.5869
2018/06/21 - 04:00:31.603261,189.4559,28,32,User missed,1.112357,0.3148657,-0.668735,0.05675,14.89864,359.4738,1.268287,-0.0186861,-0.3471267,349.2734,12.58061,5.281595
2018/06/21 - 04:00:31.946455,189.7992,29,32,User hit user's target,1.104579,0.330516,-0.7006726,348.7802,25.67991,357.5872,1.354767,0.05398878,-0.362691,340.5721,30.14607,2.054666
