Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:44:12.6437482,135.5251,0.2313468,-0.05891345,-0.25796,0.4049557,354.3593,2.931526,0.3381353,-0.6716405,-0.1094136,316.7176,352.9426,2.084244,0,0
2018/07/10 - 10:44:12.6537199,135.5362,0.2313469,-0.05890667,-0.2580092,0.3970731,354.3573,2.932995,0.3381347,-0.671636,-0.1094121,316.7379,352.9572,2.070877,0,0
2018/07/10 - 10:44:12.6657021,135.5468,0.2313531,-0.05888775,-0.2580698,0.3997509,354.3438,2.932126,0.338134,-0.671635,-0.1094119,316.7431,352.9655,2.065249,0,0
2018/07/10 - 10:44:12.6776579,135.5586,0.2313283,-0.05886611,-0.258109,0.4114752,354.3393,2.929954,0.3381322,-0.6716323,-0.1094113,316.7539,352.9662,2.072089,0,0
2018/07/10 - 10:44:12.6876293,135.57,0.2313371,-0.05885674,-0.2581668,0.404171,354.3365,2.934777,0.3381292,-0.6716295,-0.109411,316.7642,352.9606,2.091205,0,0
2018/07/10 - 10:44:12.6996075,135.5809,0.2313304,-0.05882715,-0.2582435,0.4098186,354.335,2.928078,0.3381266,-0.6716295,-0.1094116,316.7627,352.9521,2.112373,0,0
2018/07/10 - 10:44:12.7095702,135.5919,0.2313481,-0.05881937,-0.258311,0.4030668,354.3273,2.933581,0.3381183,-0.6716348,-0.1094156,316.7323,352.9021,2.204199,0,0
2018/07/10 - 10:44:12.7215387,135.6028,0.2313478,-0.05880426,-0.2583843,0.4014328,354.3273,2.937641,0.3381102,-0.6716376,-0.1094186,316.7137,352.8617,2.285014,0,0
2018/07/10 - 10:44:12.7325185,135.614,0.2313502,-0.05879537,-0.2584535,0.3967331,354.3238,2.933208,0.3380933,-0.6716205,-0.1094163,316.7842,352.8994,2.319928,0,0
2018/07/10 - 10:44:12.7434076,135.625,0.2313498,-0.05878126,-0.258532,0.3867289,354.3176,2.944676,0.3380796,-0.6715848,-0.1094063,316.9379,352.9584,2.313689,0,0
2018/07/10 - 10:44:12.7553750,135.6365,0.2313448,-0.05875452,-0.2586274,0.3903382,354.3091,2.927809,0.3380789,-0.6715661,-0.1093994,317.019,352.9646,2.306418,0,0
2018/07/10 - 10:44:12.7653598,135.6476,0.2313482,-0.05875754,-0.2587113,0.3821953,354.3059,2.930669,0.3380815,-0.671568,-0.1093995,317.0089,352.9279,2.333411,0,0
2018/07/10 - 10:44:12.7773161,135.6587,0.2313438,-0.05875703,-0.2587863,0.3757955,354.294,2.932515,0.3380727,-0.6715431,-0.1093922,317.1155,352.9563,2.33883,0,0
2018/07/10 - 10:44:12.7873109,135.6697,0.2313321,-0.05875278,-0.258885,0.3710186,354.2968,2.93512,0.3380509,-0.6714879,-0.1093764,317.3533,353.046,2.333918,0,0
2018/07/10 - 10:44:12.7992573,135.6807,0.2313257,-0.05874765,-0.2589734,0.3672866,354.2954,2.937958,0.3380407,-0.6714621,-0.1093689,317.4655,353.0935,2.325748,0,0
2018/07/10 - 10:44:12.8092503,135.692,0.2312989,-0.05874692,-0.2590704,0.3478948,354.2941,2.935313,0.3380497,-0.6714861,-0.109376,317.3569,353.0026,2.384743,0,0
2018/07/10 - 10:44:12.8212189,135.7026,0.2312978,-0.0587278,-0.2591502,0.3491166,354.2775,2.92977,0.3380544,-0.6714993,-0.1093799,317.3008,352.9914,2.377715,0,0
2018/07/10 - 10:44:12.8321700,135.7137,0.2312796,-0.05872538,-0.2592479,0.3377821,354.2841,2.946105,0.3380533,-0.671506,-0.1093827,317.2712,352.9888,2.386939,0,0
2018/07/10 - 10:44:12.8431427,135.7251,0.2312691,-0.05871574,-0.259354,0.3368146,354.2855,2.940694,0.3380534,-0.671519,-0.1093877,317.2144,352.9806,2.397495,0,0
2018/07/10 - 10:44:12.8541102,135.7364,0.2312423,-0.05871736,-0.2594294,0.3320723,354.2832,2.936313,0.3380563,-0.6715378,-0.1093941,317.1312,352.9458,2.424814,0,0
2018/07/10 - 10:44:12.8650810,135.7473,0.2312049,-0.05872065,-0.2595147,0.3379921,354.2807,2.941321,0.3380595,-0.6715536,-0.1093993,317.0604,352.9008,2.4607,0,0
2018/07/10 - 10:44:12.8770509,135.7587,0.2311607,-0.05872301,-0.2595924,0.3518704,354.2688,2.940772,0.3380616,-0.6715562,-0.1093998,317.0488,352.8845,2.468584,0,0
2018/07/10 - 10:44:12.8880196,135.7697,0.2311411,-0.05873911,-0.259668,0.3425934,354.2628,2.951267,0.3380644,-0.6715558,-0.109399,317.0506,352.8766,2.463846,0,0
2018/07/10 - 10:44:12.8989923,135.7814,0.2310949,-0.05873752,-0.2597293,0.3444617,354.2525,2.949913,0.3380673,-0.6715567,-0.1093986,317.0471,352.8662,2.461551,0,0
2018/07/10 - 10:44:12.9109583,135.7918,0.231027,-0.05875564,-0.259773,0.3284482,354.2374,2.94921,0.3380716,-0.6715583,-0.1093982,317.0409,352.8594,2.448877,0,0
2018/07/10 - 10:44:12.9209323,135.8036,0.2309919,-0.05875916,-0.2598183,0.3248147,354.2353,2.957888,0.3380762,-0.67156,-0.1093977,317.0348,352.851,2.437006,0,0
2018/07/10 - 10:44:12.9329006,135.8141,0.2309487,-0.05876555,-0.2598728,0.3209794,354.2205,2.965665,0.3380778,-0.6715617,-0.109398,317.028,352.8499,2.431187,0,0
2018/07/10 - 10:44:12.9428729,135.8253,0.2309245,-0.05875934,-0.2599236,0.3272924,354.2155,2.962644,0.3380781,-0.6715632,-0.1093985,317.0214,352.85,2.429988,0,0
2018/07/10 - 10:44:12.9548414,135.8359,0.2308665,-0.05876246,-0.2599802,0.3328723,354.1862,2.954713,0.3380775,-0.6715642,-0.109399,317.0178,352.8613,2.42121,0,0
2018/07/10 - 10:44:12.9658121,135.8469,0.2308317,-0.05876878,-0.2600154,0.3359855,354.181,2.953613,0.3380775,-0.6715648,-0.1093992,317.0163,352.8708,2.411042,0,0
2018/07/10 - 10:44:12.9777807,135.8584,0.2307948,-0.05876487,-0.2600367,0.3430595,354.1748,2.950387,0.3380785,-0.6715688,-0.1094005,316.9992,352.8683,2.41023,0,0
2018/07/10 - 10:44:12.9877536,135.8697,0.2307468,-0.05877914,-0.2600496,0.3422761,354.1566,2.948045,0.3380784,-0.6715721,-0.1094018,316.9846,352.866,2.413519,0,0
2018/07/10 - 10:44:12.9987234,135.8805,0.2306962,-0.05878173,-0.2600558,0.3427792,354.1492,2.935719,0.3380787,-0.671575,-0.1094028,316.9719,352.8631,2.41592,0,0
