Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 12:31:12.5964528,1.299452,0.007009265,0.004319066,-0.07057036,4.284051,351.7026,0.6718882,0.05495483,-0.3664329,0.1442851,339.7418,347.336,357.3431
2018/07/02 - 12:31:12.6074230,1.310691,0.007930491,0.004276438,-0.07053436,4.300128,352.3364,0.6622354,0.05606684,-0.3658675,0.1446073,339.4583,347.6112,357.377
2018/07/02 - 12:31:12.6186002,1.321871,0.008755208,0.004256047,-0.07055327,4.382874,352.9979,0.6743323,0.05702199,-0.3655814,0.1448788,339.3215,347.7942,357.4164
2018/07/02 - 12:31:12.6295715,1.332634,0.009515661,0.004138034,-0.07055106,4.454492,353.578,0.7537118,0.05781938,-0.3655593,0.1451533,339.35,347.8694,357.4725
2018/07/02 - 12:31:12.6405536,1.343766,0.01027205,0.003949881,-0.07053722,4.486062,353.9963,0.8338851,0.05840546,-0.3657126,0.1455235,339.4914,347.8153,357.6265
2018/07/02 - 12:31:12.6525093,1.355033,0.01086671,0.003862742,-0.07058874,4.661516,354.2632,0.9217808,0.05881407,-0.3662392,0.1460185,339.9485,347.5435,357.9176
2018/07/02 - 12:31:12.6624828,1.365999,0.01136905,0.003703966,-0.07059554,4.768437,354.4955,0.9596772,0.059024,-0.3672748,0.1469466,341.143,347.0822,358.1614
2018/07/02 - 12:31:12.6744507,1.376925,0.01174096,0.003554201,-0.07060171,4.909822,354.607,0.9831701,0.05935525,-0.3684288,0.1482511,342.621,346.8625,357.963
2018/07/02 - 12:31:12.6854217,1.387973,0.01203701,0.003420945,-0.07058654,5.026101,354.6312,0.8915501,0.05993029,-0.3696005,0.1495112,343.8844,346.7961,357.4049
2018/07/02 - 12:31:12.6953949,1.399369,0.01229075,0.003293112,-0.07054289,5.146266,354.6752,0.7981403,0.06048596,-0.3712456,0.1508882,345.2406,346.8246,356.487
2018/07/02 - 12:31:12.7073628,1.410195,0.01244767,0.003136746,-0.07057639,5.287504,354.6554,0.6873771,0.06080575,-0.3730552,0.1522422,346.7932,346.6453,355.8311
2018/07/02 - 12:31:12.7178426,1.421181,0.01250875,0.002992479,-0.07064895,5.455669,354.6183,0.4917408,0.06067252,-0.3758779,0.1539864,349.2509,346.0542,355.1174
2018/07/02 - 12:31:12.7298111,1.432356,0.01253888,0.002742915,-0.07068726,5.577926,354.5173,0.4861118,0.06023679,-0.3789167,0.1558896,352.0039,345.3534,354.4411
2018/07/02 - 12:31:12.7397849,1.443422,0.01252345,0.002607599,-0.07075332,5.75348,354.3455,0.3882444,0.05943346,-0.3823755,0.157546,354.6963,344.6612,353.8424
2018/07/02 - 12:31:12.7517529,1.454229,0.01237321,0.002482203,-0.07076898,5.906314,354.1488,0.3443438,0.05852852,-0.3858179,0.1587474,356.8333,344.0569,353.4324
2018/07/02 - 12:31:12.7617266,1.465668,0.01217281,0.002322664,-0.07079726,6.047185,353.957,0.341063,0.05746636,-0.3895368,0.1594151,358.4428,343.4543,353.2863
