Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:44:37.5034281,0.9119651,-0.02558594,0.01635715,-0.02179218,348.334,24.87799,4.474733,0.1053381,-0.2957503,0.2321971,341.2084,31.16116,20.69553
2018/06/29 - 02:44:37.5153958,0.9228582,-0.02604689,0.01606244,-0.02165053,348.5585,23.41806,4.600448,0.1026665,-0.2966187,0.2347482,341.8435,30.02582,20.5493
2018/06/29 - 02:44:37.5253701,0.9342465,-0.02646263,0.01576232,-0.02159292,348.8412,22.00441,4.811803,0.1000738,-0.297736,0.2377449,343.0316,28.81405,20.34586
2018/06/29 - 02:44:37.5363405,0.9444674,-0.02681575,0.01551334,-0.02155936,349.1605,20.4856,4.932325,0.09730895,-0.2990235,0.2410591,344.53,27.53803,20.18367
2018/06/29 - 02:44:37.5473112,0.955437,-0.02709053,0.01518954,-0.02145392,349.4192,18.96782,5.180007,0.09415879,-0.3006228,0.2445465,346.2903,26.10076,20.02947
2018/06/29 - 02:44:37.5582822,0.9668179,-0.02737885,0.0149385,-0.02134361,349.7454,17.39107,5.326001,0.09078855,-0.3022703,0.2476561,347.685,24.73931,19.87571
2018/06/29 - 02:44:37.5702507,0.9776876,-0.02771511,0.01462564,-0.0212619,350.1084,15.83344,5.470784,0.08704618,-0.3038212,0.2506551,348.6267,23.36412,19.73149
2018/06/29 - 02:44:37.5802219,0.9887374,-0.02810584,0.01416984,-0.02133479,350.5064,14.19927,5.49096,0.08306873,-0.3051293,0.2537269,349.3878,21.85266,19.73238
2018/06/29 - 02:44:37.5911935,0.99961,-0.02841179,0.01368231,-0.02123764,350.9156,12.64367,5.561591,0.0784134,-0.3064001,0.2566729,350.1277,20.17384,19.90096
2018/06/29 - 02:44:37.6031614,1.010435,-0.02880251,0.01316854,-0.02140237,351.4328,11.09138,5.577855,0.07345191,-0.3076364,0.2593447,350.8246,18.66961,20.01076
2018/06/29 - 02:44:37.6141322,1.022327,-0.02914068,0.012554,-0.02160087,351.9506,9.484004,5.570397,0.06779362,-0.308615,0.2617787,351.4079,17.38044,20.41269
2018/06/29 - 02:44:37.6241059,1.032918,-0.0294221,0.01192123,-0.02168523,352.46,7.901887,5.612271,0.06167217,-0.309252,0.2640964,351.6769,16.12855,21.18257
2018/06/29 - 02:44:37.6360739,1.043558,-0.02970419,0.01129065,-0.02189711,353.0406,6.29247,5.691269,0.05465822,-0.3097274,0.2660419,351.3016,14.63593,22.51527
2018/06/29 - 02:44:37.6459552,1.055585,-0.02993667,0.01059922,-0.02202127,353.6182,4.662326,5.802431,0.04765619,-0.310316,0.2679693,351.0787,12.84488,23.8279
2018/06/29 - 02:44:37.6579237,1.065845,-0.0302941,0.009922235,-0.02234632,354.3369,3.063954,5.871908,0.04084625,-0.3108683,0.269885,351.2654,10.87955,24.85866
2018/06/29 - 02:44:37.6688938,1.076872,-0.03055457,0.00911566,-0.02258281,354.9623,1.42032,5.959998,0.03462379,-0.3112428,0.2715915,351.886,9.013434,25.03876
2018/06/29 - 02:44:37.6808612,1.088172,-0.03078512,0.008293673,-0.02296725,355.614,359.7907,6.125382,0.0286138,-0.3113127,0.2730165,352.4023,7.433425,24.76372
2018/06/29 - 02:44:37.6918325,1.099708,-0.03105021,0.007523667,-0.02331129,356.2079,358.1456,6.120097,0.02231584,-0.3113419,0.2741922,352.6306,6.02575,24.85106
2018/06/29 - 02:44:37.7018071,1.11074,-0.03136609,0.006849763,-0.02389442,356.8272,356.5026,6.139367,0.01554348,-0.3112264,0.2749176,352.619,4.590475,25.42325
2018/06/29 - 02:44:37.7137728,1.12174,-0.03162477,0.006262617,-0.02443372,357.4528,354.8915,6.173434,0.008752421,-0.3109783,0.275304,352.4187,3.205374,26.07015
2018/06/29 - 02:44:37.7237471,1.132797,-0.03181684,0.005598744,-0.02488136,357.9255,353.2658,6.259347,0.002071872,-0.3107975,0.2756364,352.3448,1.932229,26.51723
2018/06/29 - 02:44:37.7357139,1.143744,-0.03190634,0.005083863,-0.02547581,358.4219,351.5977,6.251134,-0.00454917,-0.3106968,0.2757828,352.5761,0.8279454,26.72666
2018/06/29 - 02:44:37.7466846,1.154972,-0.03192432,0.004682324,-0.02611537,358.9421,350.0523,6.240169,-0.01101018,-0.3105369,0.2758833,352.8552,359.6346,26.83831
2018/06/29 - 02:44:37.7586535,1.165797,-0.0318454,0.004238267,-0.02670026,359.4479,348.5401,6.262885,-0.01756551,-0.3103025,0.2757007,353.044,358.3698,27.01531
2018/06/29 - 02:44:37.7686269,1.177341,-0.03183323,0.003753203,-0.02756552,359.9219,347.1308,6.21126,-0.02419434,-0.3100891,0.2753686,353.1743,357.1486,27.31665
2018/06/29 - 02:44:37.7806131,1.188162,-0.03162212,0.003297682,-0.02841662,0.4401699,345.6705,6.189906,-0.03078542,-0.3099084,0.2747226,353.2722,356.0135,27.61036
2018/06/29 - 02:44:37.7925617,1.199185,-0.03132603,0.002895087,-0.0295449,1.028684,344.3409,6.145998,-0.03716603,-0.3097516,0.2740196,353.4892,355.0063,27.69263
2018/06/29 - 02:44:37.8025360,1.211129,-0.03090994,0.002407735,-0.03054901,1.552367,343.1113,6.229502,-0.04346443,-0.3096984,0.2730789,353.6622,354.2702,27.65229
2018/06/29 - 02:44:37.8135278,1.221882,-0.0304485,0.001902336,-0.03148463,2.084962,341.916,6.25802,-0.04993599,-0.3098685,0.2721109,353.9233,353.4691,27.77681
2018/06/29 - 02:44:37.8244800,1.232144,-0.02981435,0.001404529,-0.03235772,2.658442,340.7525,6.30814,-0.05652383,-0.3102306,0.2709,354.3354,352.55,27.99887
2018/06/29 - 02:44:37.8374475,1.243716,-0.0290965,0.0007675801,-0.03329412,3.174317,339.7924,6.414968,-0.06304463,-0.3107986,0.2694905,354.7854,351.6592,28.22233
2018/06/29 - 02:44:37.8464234,1.256179,-0.02833779,0.000188373,-0.03413165,3.71348,338.6686,6.467512,-0.06950837,-0.3114946,0.268063,355.2558,350.7635,28.41331
2018/06/29 - 02:44:37.8583905,1.265736,-0.02741764,-0.000388016,-0.03505028,4.220329,337.69,6.656727,-0.07602172,-0.312403,0.2665623,355.9886,349.5559,28.69333
2018/06/29 - 02:44:37.8683648,1.276779,-0.02645997,-0.0009362618,-0.03593231,4.692647,336.6977,6.855058,-0.08258747,-0.3135479,0.264854,356.8992,348.207,29.04232
2018/06/29 - 02:44:37.8793352,1.287974,-0.025531,-0.001468968,-0.03680813,5.156559,335.7619,7.046885,-0.08891238,-0.3150698,0.2628969,357.9876,346.815,29.36492
2018/06/29 - 02:44:37.8913041,1.298684,-0.02446643,-0.002044029,-0.03763233,5.533594,334.7002,7.151684,-0.09505282,-0.3167221,0.2607973,358.9624,345.7061,29.61473
2018/06/29 - 02:44:37.9012772,1.309802,-0.02337087,-0.002620829,-0.03849577,5.922041,333.7502,7.336386,-0.1009627,-0.3187909,0.2583471,359.8062,344.7723,29.86617
2018/06/29 - 02:44:37.9132446,1.320736,-0.02226524,-0.003127156,-0.03938854,6.296488,332.808,7.429894,-0.1067412,-0.3209394,0.2558958,0.6492718,343.7251,30.02498
2018/06/29 - 02:44:37.9232181,1.332292,-0.02108551,-0.003655257,-0.0401262,6.56778,331.8238,7.570652,-0.1120725,-0.323776,0.2530703,1.611919,342.5363,29.98951
2018/06/29 - 02:44:37.9351849,1.342983,-0.01991675,-0.00408338,-0.04089487,6.807277,330.8996,7.688466,-0.1174684,-0.3265039,0.2501363,2.451096,341.2095,30.00415
2018/06/29 - 02:44:37.9451641,1.354161,-0.01874464,-0.004504898,-0.04168463,7.054188,329.9487,7.785848,-0.1225889,-0.3294363,0.2468034,2.964273,339.8022,29.9266
2018/06/29 - 02:44:37.9581242,1.365048,-0.01747467,-0.004977744,-0.04236756,7.216259,328.9444,7.887009,-0.1274765,-0.3324415,0.2435371,3.52516,338.5302,29.76653
2018/06/29 - 02:44:37.9681198,1.376699,-0.01613116,-0.005392128,-0.04307472,7.461739,327.9382,8.025711,-0.1320889,-0.3357659,0.2401444,4.086982,337.326,29.51936
2018/06/29 - 02:44:37.9810626,1.387547,-0.01482862,-0.005835754,-0.04379781,7.652339,327.0076,8.063229,-0.1364443,-0.3392698,0.2367661,4.688362,336.0533,29.08058
2018/06/29 - 02:44:37.9910369,1.399841,-0.01349359,-0.006229362,-0.04449491,7.853044,326.0209,8.07479,-0.1407174,-0.3428418,0.2334047,5.528277,334.9684,28.58159
2018/06/29 - 02:44:38.0020073,1.410108,-0.01212794,-0.006620673,-0.04513118,8.017976,325.0536,8.159751,-0.1448748,-0.3463649,0.2299109,6.30438,333.9987,28.02079
2018/06/29 - 02:44:38.0139963,1.421309,-0.01079639,-0.006952988,-0.04581511,8.196985,324.1168,8.175309,-0.1489561,-0.349691,0.2263642,6.725933,332.8528,27.44677
2018/06/29 - 02:44:38.0239473,1.432247,-0.009368588,-0.00728095,-0.04634629,8.325552,323.1184,8.237503,-0.152775,-0.3527554,0.2228253,6.929381,331.577,26.72304
2018/06/29 - 02:44:38.0359155,1.443488,-0.007987145,-0.007592254,-0.04686424,8.431975,322.1424,8.265262,-0.1566094,-0.3556864,0.2193056,7.11911,330.4279,26.06623
2018/06/29 - 02:44:38.0467412,1.454404,-0.006602474,-0.007763122,-0.04729687,8.523328,321.1021,8.23635,-0.1604085,-0.3584253,0.2157333,7.391369,329.4049,25.49499
2018/06/29 - 02:44:38.0574659,1.466316,-0.005275508,-0.00790845,-0.04773714,8.616599,320.1243,8.258053,-0.1643883,-0.3611206,0.2121365,7.638368,328.3738,25.15464
