Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:49.5482089,0.6220058,-0.007069435,-0.03912392,-0.1427907,8.526964,19.01488,0.8171459,0.1253031,-0.6514891,-0.01740575,3.603359,9.639511,356.6216,0,0
2018/07/10 - 10:33:49.5561737,0.6335739,-0.006879538,-0.03891623,-0.1429633,8.380824,19.0573,0.7683116,0.1256323,-0.6515429,-0.01741489,3.894191,9.891596,355.0048,0,0
2018/07/10 - 10:33:49.5631553,0.6475096,-0.006807342,-0.03877374,-0.1430551,8.336781,19.09726,0.7324029,0.1258321,-0.6515998,-0.01746276,3.978954,10.36172,353.8419,0,0
2018/07/10 - 10:33:49.5751304,0.6552744,-0.006612409,-0.03866413,-0.1432144,8.208335,19.09939,0.7195474,0.1258945,-0.6516502,-0.01754423,3.89712,11.15551,353.1276,0,0
2018/07/10 - 10:33:49.5850976,0.666248,-0.006486353,-0.03853198,-0.1433601,8.128152,19.158,0.7120398,0.1258744,-0.6517089,-0.0176718,3.610725,12.18545,352.6296,0,0
2018/07/10 - 10:33:49.5970639,0.6774952,-0.006392801,-0.03835632,-0.1434914,8.057671,19.18038,0.6349084,0.125938,-0.6518097,-0.01784794,3.191588,13.15319,351.7084,0,0
2018/07/10 - 10:33:49.6090330,0.6883507,-0.006316451,-0.03810637,-0.1436317,7.983479,19.23958,0.5851737,0.1259393,-0.6518981,-0.01801698,2.796318,14.26731,350.9859,0,0
2018/07/10 - 10:33:49.6190204,0.6999736,-0.006215938,-0.03786243,-0.1437891,7.842417,19.2915,0.5650352,0.1258471,-0.6519449,-0.01813659,2.496798,15.3284,350.7522,0,0
2018/07/10 - 10:33:49.6309934,0.7108533,-0.006211392,-0.03746936,-0.1438996,7.639487,19.42772,0.5048064,0.1256851,-0.6519634,-0.01822397,2.205342,16.27415,350.9164,0,0
2018/07/10 - 10:33:49.6409473,0.7222072,-0.006125829,-0.03705322,-0.1440266,7.32346,19.50656,0.4585754,0.1255829,-0.6520207,-0.01835785,1.748319,17.12198,350.7789,0,0
2018/07/10 - 10:33:49.6529366,0.7329034,-0.006043946,-0.03647272,-0.1441681,6.882497,19.58019,0.4228577,0.1255732,-0.6521342,-0.01855835,1.086495,17.85053,350.1701,0,0
2018/07/10 - 10:33:49.6638854,0.7441185,-0.005988316,-0.03581222,-0.1443155,6.323097,19.69073,0.4295631,0.1256316,-0.6522587,-0.01875051,0.4508696,18.25004,349.4159,0,0
2018/07/10 - 10:33:49.6748569,0.7556888,-0.005952488,-0.0350655,-0.1445827,5.814841,19.76909,0.3977929,0.1256806,-0.6523349,-0.01886061,0.1081384,18.47361,348.9102,0,0
2018/07/10 - 10:33:49.6858259,0.7663153,-0.005949835,-0.03431327,-0.1449055,5.15122,19.81844,0.3384679,0.1256883,-0.6524064,-0.01897244,359.6439,18.56141,348.6581,0,0
2018/07/10 - 10:33:49.6975223,0.7777329,-0.005981717,-0.03352701,-0.1452647,4.561463,19.89891,0.2830241,0.1256726,-0.6525074,-0.01913396,358.8945,18.60032,348.4612,0,0
2018/07/10 - 10:33:49.7084950,0.7886661,-0.005998243,-0.03268061,-0.1456997,3.998901,19.92974,0.2328101,0.146462,-0.4966534,0.05011284,359.0801,18.11804,348.8438,0,0
