Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
1.366316,0,0,0,0,0,0,-0.1325876,-0.06875837,-0.01316498,344.2009,316.6958,5.468538
1.372393,0,0,0,0,0,0,-0.1325558,-0.06874013,-0.0131975,344.0651,316.6506,5.444307
1.377945,0,0,0,0,0,0,-0.1325234,-0.06870865,-0.01320891,343.9239,316.6747,5.373625
1.384699,0,0,0,0,0,0,-0.132486,-0.06866646,-0.01321208,343.7699,316.7281,5.267551
1.395226,0,0,0,0,0,0,-0.1323949,-0.06854913,-0.01319387,343.4469,316.9061,4.938224
1.402419,0,0,0,0,0,0,-0.1323391,-0.06847984,-0.01318557,343.2782,316.9874,4.735438
1.408743,0,0,0,0,0,0,-0.1322967,-0.06842216,-0.01317007,343.1504,317.0791,4.561943
1.414388,0,0,0,0,0,0,-0.1322619,-0.06836651,-0.0131428,342.9839,317.2465,4.406259
1.41991,0,0,0,0,0,0,-0.1322294,-0.06829864,-0.01308912,342.727,317.5698,4.23045
1.425307,0,0,0,0,0,0,-0.1321989,-0.06823849,-0.01304398,342.5292,317.8272,4.064643
1.431166,0,0,0,0,0,0,-0.132158,-0.06815904,-0.01298422,342.2184,318.2076,3.857424
1.436685,0,0,0,0,0,0,-0.1320948,-0.06809401,-0.01299238,341.8074,318.4205,3.728464
1.443118,0,0,0,0,0,0,-0.1319997,-0.06802776,-0.01305926,341.2394,318.5269,3.633083
1.450962,0,0,0,0,0,0,-0.1318871,-0.06794838,-0.01313358,340.5594,318.6801,3.510939
1.457194,0,0,0,0,0,0,-0.131797,-0.06786734,-0.01315989,339.9984,318.9329,3.344966
1.463827,0,0,0,0,0,0,-0.1317536,-0.06780648,-0.01313304,339.7458,319.179,3.175595
1.470849,0,0,0,0,0,0,-0.131747,-0.06777339,-0.01308615,339.6624,319.399,3.069751
1.477157,0,0,0,0,0,0,-0.1317523,-0.06776521,-0.01306143,339.566,319.5645,3.061627
1.483433,0,0,0,0,0,0,-0.1317711,-0.06777843,-0.01304973,339.5115,319.6648,3.124918
1.490134,0,0,0,0,0,0,-0.1318075,-0.067807,-0.01303209,339.5253,319.7479,3.230338
