Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:22.192532,2.134508,0.9222469,0.3372369,-0.6636423,346.7284,285.4431,358.9849,0.6876642,-0.03512938,-0.504728,342.1534,284.0797,350.653
2018/06/21 - 03:57:22.214475,2.157155,0.922496,0.3369016,-0.6620718,347.0748,286.3412,358.8524,0.6871845,-0.03818998,-0.4989801,342.7392,284.9752,350.6093
2018/06/21 - 03:57:22.237412,2.17902,0.9227268,0.3365523,-0.6604534,347.3086,287.2399,358.8434,0.6869891,-0.04080822,-0.4929731,343.1114,286.0484,350.0432
2018/06/21 - 03:57:22.259354,2.201945,0.9228323,0.3363742,-0.6590303,347.5258,288.0037,358.7533,0.686574,-0.04330058,-0.4872103,343.6744,286.9706,349.7059
2018/06/21 - 03:57:22.281295,2.223407,0.9228367,0.3361325,-0.6577798,347.607,288.7025,358.5743,0.6862401,-0.04573273,-0.481837,344.1813,287.8744,349.7849
2018/06/21 - 03:57:22.303237,2.245509,0.9231802,0.3358865,-0.6564723,347.7596,289.3273,358.4398,0.6862257,-0.04799284,-0.4767465,344.6733,288.5703,349.834
2018/06/21 - 03:57:22.326199,2.268183,0.923601,0.3356762,-0.6551374,347.9891,290.0472,358.3181,0.6865206,-0.04974597,-0.47128,344.9181,289.5654,349.5084
2018/06/21 - 03:57:22.348117,2.290048,0.9238659,0.3354476,-0.6538845,348.2339,290.7576,358.3122,0.6870478,-0.05149617,-0.4660458,345.08,290.6588,349.3783
2018/06/21 - 03:57:22.370058,2.31218,0.9240752,0.3351586,-0.6527583,348.4585,291.265,358.34,0.6875458,-0.05351975,-0.4612784,345.3578,291.322,349.5624
2018/06/21 - 03:57:22.392000,2.334769,0.9240001,0.334904,-0.6519208,348.5336,291.709,358.1336,0.6880327,-0.05532141,-0.4568838,345.8269,291.7859,349.5215
2018/06/21 - 03:57:22.414939,2.356814,0.9241152,0.3346626,-0.6509594,348.7166,292.0776,358.0534,0.6886127,-0.05682219,-0.4526327,346.209,292.2592,349.4776
2018/06/21 - 03:57:22.436880,2.379003,0.9241088,0.3343563,-0.6501251,348.8283,292.4871,357.972,0.689755,-0.05765188,-0.4482036,346.3845,293.1126,349.0876
2018/06/21 - 03:57:22.459903,2.401494,0.9241521,0.3340638,-0.6493893,349.028,292.8706,358.0083,0.6909571,-0.05795596,-0.4443239,346.3453,293.8965,349.0547
2018/06/21 - 03:57:22.481845,2.423656,0.9240962,0.3336653,-0.6487991,349.2873,293.1255,358.0685,0.6920689,-0.05789299,-0.4407838,346.1211,294.4665,349.1282
2018/06/21 - 03:57:22.503785,2.445679,0.9243208,0.3333152,-0.6482088,349.5562,293.3978,358.1543,0.6930338,-0.05768117,-0.4375481,345.9856,294.9768,349.253
2018/06/21 - 03:57:22.525726,2.468065,0.9242473,0.333088,-0.6478256,349.68,293.5715,358.2348,0.6938677,-0.05742289,-0.4345227,345.8483,295.5161,349.2691
2018/06/21 - 03:57:22.547728,2.490042,0.9241029,0.3330251,-0.6475752,349.8125,293.7208,358.2072,0.6945983,-0.05728231,-0.4321677,345.8889,295.8578,349.2153
2018/06/21 - 03:57:22.569668,2.512357,0.9241419,0.3329425,-0.6474651,349.9621,293.7137,358.3152,0.6951061,-0.05724992,-0.4303468,345.9405,296.023,349.1418
2018/06/21 - 03:57:22.592607,2.534934,0.9242092,0.3329138,-0.6474685,350.0485,293.5677,358.3651,0.6953846,-0.05727013,-0.4293939,346.0632,296.0332,349.1701
2018/06/21 - 03:57:22.613552,2.556128,0.9241409,0.3328623,-0.6474769,350.0682,293.4873,358.4075,0.6954238,-0.05723975,-0.4297761,346.0886,295.8873,349.1686
2018/06/21 - 03:57:22.624544,2.567707,0.9240426,0.3328398,-0.647564,350.0912,293.4805,358.4214,0.6956303,-0.05721853,-0.4298816,346.1035,295.7607,349.214
2018/06/21 - 03:57:22.636485,2.579145,0.9239144,0.3327912,-0.6476608,350.1771,293.3777,358.5001,0.6959052,-0.05724519,-0.4303366,346.0909,295.4953,349.2936
2018/06/21 - 03:57:22.648473,2.59033,0.9238416,0.332786,-0.6477874,350.2465,293.3207,358.5446,0.6960105,-0.05729573,-0.4312543,346.0441,295.2262,349.3712
2018/06/21 - 03:57:22.659422,2.602268,0.9237662,0.332727,-0.6479047,350.298,293.1675,358.6994,0.6961285,-0.05733968,-0.4324341,345.9855,294.8905,349.5135
2018/06/21 - 03:57:22.671390,2.61373,0.9236841,0.3326809,-0.6480653,350.326,292.9954,358.7734,0.6961558,-0.05745069,-0.4338076,345.901,294.4926,349.6873
2018/06/21 - 03:57:22.682361,2.624946,0.9235435,0.3326189,-0.6482709,350.3514,292.8163,358.8637,0.6960922,-0.05763986,-0.43524,345.8741,294.0609,349.8326
2018/06/21 - 03:57:22.694329,2.636153,0.923403,0.3325908,-0.6485118,350.4288,292.5864,358.9223,0.6960136,-0.05783458,-0.4369105,345.8689,293.5928,349.9865
