Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:32:53.1337628,0.8667449,0.006492279,0.01232271,-0.02079832,352.347,12.49741,2.638939,0.1162168,-0.4399172,0.1163009,345.42,13.87803,347.0531
2018/06/28 - 02:32:53.1467274,0.8776826,0.006994247,0.01232371,-0.02111636,352.3436,13.1366,2.422662,0.116366,-0.4398647,0.1160951,345.4082,13.95645,347.0705
2018/06/28 - 02:32:53.1557102,0.8894836,0.007564746,0.01235969,-0.02132621,352.398,13.86314,2.315571,0.1165163,-0.4398612,0.1159341,345.4118,14.03279,347.0777
2018/06/28 - 02:32:53.1686893,0.8997352,0.008132368,0.0123607,-0.02133832,352.4087,14.69832,2.151782,0.1166691,-0.4398465,0.1157827,345.4233,14.09196,347.0768
2018/06/28 - 02:32:53.1786488,0.9109901,0.008759875,0.01238437,-0.0214369,352.4741,15.5145,1.980128,0.1168092,-0.439856,0.1156769,345.4586,14.14952,347.0634
2018/06/28 - 02:32:53.1896130,0.9220871,0.009412497,0.01239622,-0.02153524,352.5286,16.4111,1.815395,0.1168913,-0.4398691,0.1156093,345.4827,14.17406,347.0565
2018/06/28 - 02:32:53.2015992,0.933014,0.01011754,0.01244227,-0.02178599,352.6037,17.31431,1.711061,0.1170415,-0.43988,0.115435,345.5222,14.25539,347.0398
2018/06/28 - 02:32:53.2125520,0.9444438,0.01081975,0.01245807,-0.02195859,352.6412,18.24495,1.584858,0.1171106,-0.4398904,0.1152967,345.5459,14.30065,347.0257
2018/06/28 - 02:32:53.2245373,0.956348,0.01154421,0.01249306,-0.02215887,352.6846,19.20994,1.439219,0.1171388,-0.4398884,0.1151955,345.5523,14.33421,347.0359
2018/06/28 - 02:32:53.2334953,0.9669407,0.01225553,0.01249495,-0.02236932,352.7173,20.14826,1.274272,0.1171573,-0.4398575,0.1150524,345.5592,14.37881,347.0709
2018/06/28 - 02:32:53.2454632,0.9775126,0.01300894,0.01247318,-0.02280022,352.789,21.10085,1.187432,0.1171579,-0.4397953,0.1149456,345.5515,14.41918,347.13
2018/06/28 - 02:32:53.2554373,0.9887362,0.01363127,0.01243124,-0.02320279,352.8629,22.07936,1.049299,0.1171274,-0.4396971,0.1148353,345.5257,14.46161,347.2323
2018/06/28 - 02:32:53.2674047,0.9997836,0.01430409,0.01236073,-0.02371098,352.9288,22.98966,0.96782,0.1170643,-0.4395257,0.1147403,345.4824,14.51214,347.3557
2018/06/28 - 02:32:53.2803696,1.010708,0.01494651,0.0123387,-0.02393067,353.013,23.87267,0.8018071,0.1169914,-0.4393733,0.1146372,345.407,14.55379,347.4482
2018/06/28 - 02:32:53.2893467,1.022877,0.01556195,0.01228533,-0.0241257,353.066,24.77979,0.7016403,0.1169042,-0.4392044,0.1145416,345.3604,14.5907,347.567
2018/06/28 - 02:32:53.3013143,1.033381,0.01613691,0.01222759,-0.02445786,353.124,25.59546,0.6272084,0.1168054,-0.4390128,0.1144727,345.3154,14.61742,347.6855
2018/06/28 - 02:32:53.3112878,1.044075,0.01664681,0.01216282,-0.02465526,353.1579,26.45401,0.5476835,0.1167304,-0.4388455,0.1143688,345.2554,14.65947,347.7956
2018/06/28 - 02:32:53.3232558,1.054953,0.01714078,0.0120586,-0.02484156,353.145,27.19831,0.4568356,0.1166711,-0.4387364,0.1142137,345.1972,14.70963,347.8901
2018/06/28 - 02:32:53.3332414,1.066613,0.01751839,0.01210968,-0.02453798,353.2232,27.91778,0.3063579,0.1166303,-0.4386893,0.1140845,345.1544,14.77884,347.9733
2018/06/28 - 02:32:53.3458696,1.077485,0.01796513,0.01207151,-0.02417218,353.2299,28.61434,0.2661585,0.1166143,-0.4386919,0.1139544,345.1248,14.84074,348.0289
2018/06/28 - 02:32:53.3558248,1.08862,0.01830833,0.01208135,-0.02363743,353.2639,29.25416,0.1379377,0.1166404,-0.4387504,0.113859,345.1198,14.90052,348.0475
2018/06/28 - 02:32:53.3677911,1.09971,0.01864862,0.01210625,-0.0233918,353.3198,29.87038,0.03217272,0.116679,-0.4388478,0.1138125,345.1275,14.94581,348.0524
2018/06/28 - 02:32:53.3787621,1.111101,0.01896964,0.01205287,-0.02318124,353.3318,30.39947,359.9349,0.1167448,-0.4389429,0.1138905,345.1628,14.96429,348.0147
2018/06/28 - 02:32:53.3887353,1.121999,0.01925398,0.01196497,-0.02315947,353.3449,30.93199,359.8439,0.1168053,-0.4390299,0.1139504,345.1848,15.00209,347.9897
2018/06/28 - 02:32:53.4017011,1.132841,0.01944745,0.01188389,-0.02329517,353.3961,31.39434,359.7473,0.1169003,-0.4391465,0.1140202,345.2148,15.04325,347.9428
2018/06/28 - 02:32:53.4116742,1.144211,0.01961979,0.01171696,-0.02378969,353.413,31.84313,359.6485,0.1169878,-0.4392416,0.1141316,345.2493,15.07545,347.8992
2018/06/28 - 02:32:53.4226942,1.155467,0.01978972,0.01162918,-0.02405662,353.4442,32.28027,359.5421,0.1171328,-0.4393522,0.1143268,345.3134,15.11228,347.8145
2018/06/28 - 02:32:53.4336640,1.166121,0.02000446,0.01162655,-0.02411169,353.4879,32.66558,359.4795,0.1172852,-0.4393994,0.1145872,345.3896,15.1256,347.7137
2018/06/28 - 02:32:53.4456351,1.177348,0.0201551,0.01162812,-0.02414403,353.525,33.05002,359.4465,0.1173895,-0.4393681,0.1148047,345.4419,15.14425,347.6209
2018/06/28 - 02:32:53.4566061,1.188392,0.02023971,0.01166767,-0.02416743,353.5885,33.41644,359.3637,0.1174385,-0.439294,0.1149935,345.5025,15.12583,347.5508
2018/06/28 - 02:32:53.4685738,1.200197,0.02041126,0.01158565,-0.02435912,353.5691,33.74693,359.4013,0.1174242,-0.4392201,0.1151067,345.5278,15.10695,347.5399
2018/06/28 - 02:32:53.4795508,1.211189,0.02042338,0.01160104,-0.02484497,353.6509,34.0594,359.3247,0.117356,-0.4391596,0.1151786,345.5168,15.08748,347.5717
2018/06/28 - 02:32:53.4895231,1.222964,0.02058885,0.01154154,-0.02481524,353.6129,34.40126,359.3473,0.1172988,-0.4391242,0.1151956,345.5065,15.07961,347.6017
2018/06/28 - 02:32:53.5014927,1.23305,0.02066913,0.01157498,-0.02480591,353.6639,34.73113,359.3546,0.1171735,-0.4390457,0.1152691,345.4944,15.05375,347.6595
2018/06/28 - 02:32:53.5114591,1.244334,0.02074252,0.01163105,-0.02477947,353.722,35.00013,359.3636,0.1168446,-0.4389379,0.115357,345.4084,15.00521,347.8535
2018/06/28 - 02:32:53.5234282,1.255492,0.02082447,0.01159381,-0.02493539,353.7221,35.25762,359.4356,0.116581,-0.4389313,0.1153435,345.3138,14.96529,348.0295
2018/06/28 - 02:32:53.5334005,1.266348,0.02079846,0.01157753,-0.02530451,353.7435,35.46522,359.4488,0.1163347,-0.4389845,0.1152928,345.2078,14.93462,348.1989
2018/06/28 - 02:32:53.5463851,1.277629,0.0208228,0.01152295,-0.02550151,353.7442,35.68504,359.536,0.1161342,-0.4390382,0.115288,345.1302,14.90689,348.3329
2018/06/28 - 02:32:53.5563386,1.288919,0.02079228,0.01153114,-0.02566361,353.798,35.86457,359.6101,0.1159926,-0.439104,0.1153439,345.0815,14.87709,348.4322
2018/06/28 - 02:32:53.5683262,1.299678,0.0208293,0.01152268,-0.02562881,353.7792,35.94007,359.6188,0.1158983,-0.4391553,0.1154383,345.0515,14.84983,348.4908
2018/06/28 - 02:32:53.5792767,1.310804,0.02075886,0.01154078,-0.02557665,353.8132,36.02187,359.6689,0.1159299,-0.439198,0.1155797,345.0793,14.84539,348.461
2018/06/28 - 02:32:53.5912470,1.322231,0.02067564,0.0114783,-0.02549472,353.7982,36.06828,359.7534,0.1160204,-0.4392261,0.1156357,345.1221,14.85334,348.3951
2018/06/28 - 02:32:53.6022177,1.334699,0.02057873,0.01141809,-0.02546683,353.8161,36.06622,359.8514,0.1160248,-0.4392884,0.1157175,345.1431,14.85278,348.3693
2018/06/28 - 02:32:53.6111924,1.344795,0.02043694,0.01138715,-0.02544307,353.853,35.99691,359.9115,0.115989,-0.4394434,0.1159588,345.2034,14.83633,348.3115
2018/06/28 - 02:32:53.6241824,1.355312,0.02028611,0.01131956,-0.02533551,353.8593,35.87164,359.9802,0.1159545,-0.4395679,0.1160957,345.2452,14.81785,348.2548
2018/06/28 - 02:32:53.6341314,1.366674,0.0200536,0.0112836,-0.02509588,353.908,35.74764,0.1029474,0.1158839,-0.4397277,0.1162382,345.2953,14.78792,348.1871
2018/06/28 - 02:32:53.6451573,1.37745,0.01982926,0.0112228,-0.02502066,353.9348,35.47702,0.187795,0.1157857,-0.4398464,0.1162451,345.3205,14.749,348.1583
2018/06/28 - 02:32:53.6561294,1.388513,0.01958071,0.01122034,-0.02481635,353.9853,35.27173,0.305173,0.1156569,-0.4399325,0.116257,345.3225,14.71093,348.1378
2018/06/28 - 02:32:53.6681057,1.399639,0.01931574,0.01116148,-0.02453534,353.9619,34.95718,0.3942516,0.1155084,-0.44001,0.1162926,345.3444,14.66501,348.109
2018/06/28 - 02:32:53.6802286,1.411206,0.01910103,0.01120487,-0.02406581,353.9819,34.51123,0.5333897,0.1153199,-0.4401002,0.1162588,345.358,14.61645,348.0854
2018/06/28 - 02:32:53.6892048,1.42293,0.01882222,0.01124307,-0.02354482,353.9854,34.07357,0.6659201,0.1151558,-0.4401632,0.116239,345.3712,14.57408,348.0708
2018/06/28 - 02:32:53.7011793,1.433244,0.01843581,0.01124621,-0.02330036,354.0297,33.45635,0.8320568,0.1149269,-0.4402464,0.1161848,345.3861,14.52013,348.063
2018/06/28 - 02:32:53.7111562,1.444458,0.01809917,0.01119349,-0.02292476,354.0284,32.77354,1.037179,0.1146529,-0.4403177,0.1161775,345.389,14.44125,348.0622
