Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:34.4155385,1.188463,0.5894734,0.2597211,-0.7686809,9.504889,295.8317,358.7018,0.4168179,-0.2665702,-0.569374,357.1602,286.4105,354.3981
2018/06/22 - 01:52:34.4255122,1.19958,0.5895057,0.2598161,-0.7687785,9.432625,295.8281,358.6836,0.4173014,-0.2670766,-0.569086,358.8762,284.8549,354.1052
2018/06/22 - 01:52:34.4374805,1.210196,0.5896927,0.2600507,-0.7689473,9.2451,295.7424,358.6549,0.4182651,-0.2675459,-0.5688688,0.04824249,282.8169,353.689
2018/06/22 - 01:52:34.4484515,1.22108,0.5897371,0.2602994,-0.7691359,9.128644,295.6842,358.5831,0.4191512,-0.2679103,-0.5688886,1.245522,281.4554,353.6811
2018/06/22 - 01:52:34.4604397,1.232744,0.5897842,0.2604605,-0.7692769,8.950021,295.5794,358.5802,0.4200885,-0.2679183,-0.5693978,2.076932,280.6125,354.0561
2018/06/22 - 01:52:34.4704132,1.243834,0.589728,0.2607671,-0.7695577,8.851591,295.4951,358.4812,0.4209368,-0.267763,-0.5701338,2.486002,280.161,354.6159
2018/06/22 - 01:52:34.4843553,1.255016,0.5897757,0.2610282,-0.7698197,8.696873,295.3568,358.4549,0.4217335,-0.2673597,-0.571094,2.102057,279.9097,355.0739
2018/06/22 - 01:52:34.4943273,1.266765,0.5898176,0.2612716,-0.7700893,8.499669,295.2162,358.4295,0.4225068,-0.266943,-0.5719291,1.556101,279.8669,355.2001
2018/06/22 - 01:52:34.5052998,1.277878,0.589856,0.2616285,-0.7703611,8.30433,295.0468,358.4282,0.4230497,-0.2666804,-0.5727351,0.2472395,280.5173,354.1566
2018/06/22 - 01:52:34.5158880,1.289946,0.58992,0.2619962,-0.7706946,8.102694,294.9353,358.427,0.4232191,-0.2669161,-0.5736846,359.7753,280.2731,353.1792
2018/06/22 - 01:52:34.5258606,1.299097,0.5899736,0.2623954,-0.7710208,7.795519,294.7592,358.4377,0.422409,-0.2677626,-0.5748874,0.08809283,279.2193,352.041
2018/06/22 - 01:52:34.5478012,1.310478,0.5900347,0.2629396,-0.771428,7.482133,294.5674,358.4947,0.4214102,-0.2687049,-0.5759933,0.7052199,277.559,350.975
2018/06/22 - 01:52:34.5567777,1.329665,0.5901772,0.2634044,-0.7718179,7.202767,294.39,358.5372,0.421005,-0.2696339,-0.576624,1.23008,276.6939,349.5992
2018/06/22 - 01:52:34.5647564,1.340208,0.5903451,0.2638418,-0.7722219,6.905403,294.2136,358.575,0.420789,-0.27006,-0.5772364,1.210813,276.0374,348.441
2018/06/22 - 01:52:34.5737323,1.349081,0.5905066,0.264307,-0.7726248,6.606053,294.0163,358.5789,0.4208481,-0.2702633,-0.5776213,0.9225484,275.5124,347.2946
2018/06/22 - 01:52:34.5837055,1.357521,0.590759,0.2646869,-0.7730694,6.269381,293.8158,358.6201,0.4222293,-0.2706611,-0.5776281,0.08557718,274.6103,346.3944
2018/06/22 - 01:52:34.5966722,1.367232,0.5910279,0.2651235,-0.7736373,6.000311,293.6573,358.6223,0.4224149,-0.270987,-0.5764562,0.4054609,275.6509,345.4947
2018/06/22 - 01:52:34.6066446,1.379174,0.591265,0.2654661,-0.7741367,5.675354,293.477,358.6312,0.4231682,-0.2707133,-0.5753528,359.8139,275.465,344.437
2018/06/22 - 01:52:34.6166180,1.391114,0.5914457,0.2657873,-0.7745566,5.358983,293.304,358.6829,0.4243693,-0.2709245,-0.5742915,359.1531,276.3015,344.0375
2018/06/22 - 01:52:34.6255948,1.400269,0.5916237,0.2661973,-0.7749521,5.13583,293.1136,358.7189,0.424398,-0.2706062,-0.5738261,358.9919,275.9819,343.8065
2018/06/22 - 01:52:34.6375631,1.410691,0.5917392,0.2664983,-0.7753481,4.889784,292.9756,358.7214,0.4247782,-0.2704098,-0.5734041,359.2151,275.7253,344.1074
2018/06/22 - 01:52:34.6475363,1.421671,0.5918844,0.2667411,-0.7757033,4.624138,292.8137,358.7476,0.4256953,-0.2702532,-0.5726316,359.1349,275.9271,343.65
2018/06/22 - 01:52:34.6605229,1.432131,0.5919639,0.2670289,-0.7760321,4.355783,292.6606,358.7234,0.4268712,-0.2701218,-0.5718454,359.0273,276.1575,343.0116
2018/06/22 - 01:52:34.6704933,1.443665,0.5920826,0.2673607,-0.7763042,4.134549,292.5198,358.7533,0.427828,-0.2700466,-0.5714365,359.3191,276.7887,342.978
2018/06/22 - 01:52:34.6824416,1.454753,0.5920773,0.2675624,-0.7765059,3.820726,292.424,358.7876,0.4287941,-0.2701481,-0.571479,359.8316,277.9294,343.4363
2018/06/22 - 01:52:34.6914193,1.466235,0.5921297,0.2678174,-0.7766883,3.624369,292.2949,358.7896,0.4297531,-0.2705001,-0.5716913,0.4070178,278.8507,344.0369
2018/06/22 - 01:52:34.7033864,1.476474,0.5920753,0.2679302,-0.7768964,3.406758,292.2286,358.7606,0.4308781,-0.2710699,-0.5721347,1.048651,279.5729,344.5999
2018/06/22 - 01:52:34.7153542,1.487529,0.592153,0.2680514,-0.7770833,3.299567,292.0851,358.7683,0.431796,-0.2714802,-0.5723215,1.620838,280.2339,344.2912
2018/06/22 - 01:52:34.7263440,1.499526,0.5921724,0.2681552,-0.7773806,3.18611,292.0518,358.7751,0.4327384,-0.2714441,-0.5724588,1.967701,280.8776,344.0894
2018/06/22 - 01:52:34.7383114,1.510642,0.5922065,0.2682453,-0.7776754,3.068569,291.9579,358.7202,0.4344335,-0.2711249,-0.5726934,2.082743,282.0502,344.5961
2018/06/22 - 01:52:34.7482843,1.521918,0.5922226,0.2683117,-0.7779697,2.954062,291.8828,358.7432,0.43659,-0.2706856,-0.5728006,2.113553,283.5136,344.8018
2018/06/22 - 01:52:34.7602341,1.533013,0.5921944,0.2683953,-0.7782276,2.841418,291.7399,358.7478,0.4385037,-0.2700683,-0.5727854,2.337424,284.6982,345.1289
2018/06/22 - 01:52:34.7702079,1.543851,0.5921453,0.2684529,-0.7785155,2.742477,291.6307,358.7794,0.4399889,-0.2694838,-0.5727813,2.738982,285.7138,345.4837
2018/06/22 - 01:52:34.7821753,1.554389,0.5920527,0.2685319,-0.7787452,2.701595,291.4482,358.8509,0.4405858,-0.2689385,-0.5727816,3.138184,286.4154,345.8
2018/06/22 - 01:52:34.7921485,1.565685,0.5919288,0.2685414,-0.779013,2.598405,291.2811,358.9271,0.4400001,-0.2681569,-0.5729436,3.222011,286.714,346.1205
2018/06/22 - 01:52:34.8041171,1.577014,0.591799,0.2685138,-0.7792727,2.485442,291.0605,358.9776,0.4389887,-0.2674018,-0.5731025,3.01848,286.9495,346.5159
2018/06/22 - 01:52:34.8150878,1.587827,0.5916443,0.2685575,-0.7796027,2.493017,290.8322,359.0042,0.4382799,-0.2671019,-0.5730389,2.998754,287.1491,346.7689
