Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
10.72272,-42,-32,User missed,-0.8796448,0.2923472,-0.1849518,340.5886,56.25862,5.644136,-0.6874358,-0.3173481,-0.1075461,5.928833,22.38823,89.3447
10.94501,-43,-32,User missed,-0.8799986,0.2935157,-0.1875075,339.3613,56.34949,5.277887,-0.6872284,-0.3168281,-0.1073066,5.738921,22.65212,89.00547
11.13382,-43,-33,Peer missed,-0.880336,0.2942031,-0.1897411,339.0865,56.68339,4.936832,-0.6868906,-0.3167278,-0.1059446,5.993231,23.05553,88.94333
11.15616,-44,-33,User missed,-0.880249,0.2942969,-0.1901499,339.0618,56.81026,4.921443,-0.6874359,-0.3164798,-0.1078437,6.014277,22.37052,88.60976
11.37855,-45,-33,User missed,-0.8791654,0.2947349,-0.1930532,338.8803,57.40405,4.659198,-0.6873791,-0.316258,-0.1079716,5.431709,22.39403,88.80493
11.40062,-45,-34,Peer missed,-0.8791751,0.2947845,-0.1931195,338.8784,57.38781,4.631002,-0.6874958,-0.3163505,-0.1079622,5.479853,22.33095,88.86185
11.57855,-45,-35,Peer missed,-0.8785174,0.2947151,-0.1933588,338.8629,57.43172,4.544865,-0.6874093,-0.3163725,-0.1060356,5.953121,22.67823,88.5705
11.60047,-46,-35,User missed,-0.8783535,0.2946898,-0.1933285,338.8354,57.466,4.519393,-0.687103,-0.3163652,-0.1066179,5.35087,22.87306,88.51412
11.81045,-47,-35,User missed,-0.8771426,0.2943687,-0.1928927,339.0225,57.65029,4.341991,-0.6854377,-0.3157074,-0.1065725,5.226655,23.62253,88.38249
12.03233,-48,-35,User missed,-0.875873,0.2931162,-0.1917692,339.7639,57.48371,4.393047,-0.6858093,-0.3169868,-0.1073195,6.998694,23.06834,87.23253
12.07675,-48,-36,Peer missed,-0.8756267,0.2926944,-0.1912932,340.1176,57.35895,4.378639,-0.6853215,-0.3173239,-0.1064755,6.952638,23.55436,87.57812
12.27716,-49,-36,User missed,-0.8669747,0.2758027,-0.1830803,355.5347,56.52705,2.843362,-0.6836175,-0.3170837,-0.1062061,7.403598,24.06065,87.59137
12.41045,-49,-37,Peer missed,-0.8566036,0.2585399,-0.1757929,7.834151,56.41256,1.71666,-0.6800541,-0.3141514,-0.1033132,4.626542,27.67714,87.29655
12.47699,-49,-38,Peer missed,-0.8515891,0.2506274,-0.1723231,12.74195,56.49166,1.636464,-0.681811,-0.3141916,-0.1044403,6.303722,25.09594,87.06239
12.49954,-50,-38,User missed,-0.8490013,0.247569,-0.1704207,14.51481,56.51876,1.528107,-0.6843076,-0.3148653,-0.106651,5.497393,23.48659,88.28098
12.75511,-51,-38,User missed,-0.8321859,0.2323636,-0.1576111,21.55242,55.8367,1.117683,-0.677513,-0.3127558,-0.1071769,7.416663,25.36025,84.09613
12.84417,-51,-39,Peer missed,-0.8291488,0.2320612,-0.1538915,21.01581,53.47771,0.3972842,-0.6734349,-0.3114523,-0.1051875,7.971344,26.83519,82.98658
12.97768,-51,-40,Peer missed,-0.8302848,0.2359608,-0.1451904,17.28181,45.17813,357.2217,-0.6703488,-0.3052218,-0.1057616,6.484485,27.6629,80.53347
13.02186,-52,-40,User missed,-0.83154,0.2379965,-0.1432859,15.74246,43.01859,356.7234,-0.6688514,-0.3024021,-0.1076547,5.298074,27.54012,79.93207
13.25531,-53,-40,User missed,-0.8320429,0.2413249,-0.1502263,13.89617,45.88274,356.6645,-0.6433939,-0.2985109,-0.1165741,4.609697,39.13428,78.45423
13.29973,-53,-41,Peer missed,-0.8319155,0.2416191,-0.1521292,13.87333,46.87712,356.6596,-0.6407508,-0.2969087,-0.1177552,4.187681,40.88824,77.5902
13.36637,-53,-42,Peer missed,-0.8318164,0.2424477,-0.1557079,13.76968,48.79502,356.4819,-0.6320613,-0.2991867,-0.1187248,6.679007,44.78167,76.83354
13.53308,-54,-42,User missed,-0.8315157,0.2438316,-0.1644365,13.50919,53.73999,356.4824,-0.6153764,-0.3001989,-0.1285612,7.2488,53.83713,77.49367
13.55553,-53,-43,Peer hit user's target,-0.8314519,0.2440418,-0.16495,13.49359,54.00196,356.4498,-0.61425,-0.2998515,-0.1294271,7.585145,54.48334,76.94676
13.64435,-53,-44,Peer missed,-0.8305435,0.2450128,-0.1689701,13.18151,56.60622,356.5789,-0.6030595,-0.2947355,-0.1375181,8.264666,60.8598,76.40924
13.81108,-54,-43,User hit peer's target,-0.8272219,0.2456154,-0.1784736,13.41802,63.6261,356.5927,-0.585633,-0.2913123,-0.168942,15.51941,67.51862,73.69559
14.07769,-55,-43,User missed,-0.8260797,0.2457706,-0.1928006,13.52417,74.30733,357.1363,-0.5718814,-0.2813875,-0.2094822,15.36813,72.82206,73.95988
14.1335,-55,-44,Peer missed,-0.8265618,0.2461708,-0.1941679,13.36282,75.24428,357.2115,-0.5698237,-0.2799334,-0.2139332,15.14635,73.75351,73.90115
14.2008,-55,-45,Peer missed,-0.82728,0.2471198,-0.1955044,12.86796,76.03585,357.4463,-0.5717831,-0.271988,-0.2149192,13.21407,73.02485,73.50487
14.3338,-55,-46,Peer missed,-0.829844,0.2509857,-0.1955954,10.84207,75.19667,357.7808,-0.5873391,-0.24039,-0.2063107,4.840665,66.69746,72.48637
14.34445,-56,-46,User missed,-0.8304404,0.2517456,-0.1954538,10.37357,74.89697,357.9184,-0.5907973,-0.2346524,-0.2047605,2.412302,65.85067,72.39573
14.37822,-56,-47,Peer missed,-0.8311133,0.2525443,-0.1953097,10.02484,74.51544,357.9145,-0.5932287,-0.2302304,-0.2030266,2.009336,64.91316,71.82069
14.62305,-57,-47,User missed,-0.8388206,0.263389,-0.1905513,3.600255,66.99718,358.3067,-0.6054567,-0.171493,-0.1927112,358.0678,60.2282,70.04559
14.86706,-58,-46,User hit peer's target,-0.8442565,0.2686129,-0.198853,0.03930198,69.03009,357.9954,-0.5876973,-0.1304211,-0.2206965,351.7673,67.88065,67.3932
15.15587,-59,-46,User missed,-0.8461952,0.270295,-0.2087049,359.1685,73.7276,357.4706,-0.5667459,-0.1163058,-0.2506523,350.9297,73.4995,67.62665
15.1889,-59,-47,Peer missed,-0.846277,0.2705793,-0.2095235,359.0282,74.12173,357.4502,-0.5656837,-0.1148219,-0.2524102,350.89,73.92986,67.54475
15.41149,-60,-47,User missed,-0.8482385,0.2723906,-0.217451,357.7198,77.91418,357.1799,-0.5560666,-0.1018288,-0.2592961,348.8434,74.38467,68.69572
15.46688,-60,-48,Peer missed,-0.8487656,0.2728173,-0.218336,357.2651,78.21905,357.1382,-0.5546186,-0.1027231,-0.2603865,349.6601,75.08153,67.90031
15.54477,-59,-49,Peer hit user's target,-0.8486487,0.2734197,-0.219153,356.8801,78.53475,357.1179,-0.5548345,-0.1055048,-0.2593515,350.2587,75.78424,67.92854
15.60061,-58,-50,Peer hit user's target,-0.8483617,0.2732818,-0.2196407,356.7925,78.55043,357.1101,-0.5548645,-0.1077147,-0.2581068,350.4206,76.55674,67.46687
15.67824,-58,-51,Peer missed,-0.8479747,0.2732817,-0.2204679,356.5644,78.42101,356.9706,-0.5631649,-0.108204,-0.2496924,350.2797,70.53896,68.44568
15.70037,-59,-51,User missed,-0.8480255,0.273499,-0.2204622,356.4618,78.01299,356.9526,-0.5677847,-0.109068,-0.2447894,350.5732,68.31865,68.78694
15.95569,-60,-51,User missed,-0.8510653,0.2762634,-0.2108995,354.744,70.10104,358.2083,-0.6061258,-0.09410372,-0.2055261,345.7425,52.30094,68.02789
16.17843,-61,-51,User missed,-0.8610951,0.2874744,-0.2054228,346.1068,63.78279,358.924,-0.624131,-0.07156637,-0.1979303,340.1462,49.98842,66.78935
16.22302,-61,-52,Peer missed,-0.862438,0.2888193,-0.2063825,345.0393,64.03823,358.9656,-0.6197158,-0.06151789,-0.2034288,336.5419,54.77008,66.39217
16.24535,-61,-53,Peer missed,-0.8632529,0.289626,-0.2072278,344.4369,64.37506,358.8644,-0.6147851,-0.05368131,-0.209075,335.6649,57.88665,63.95959
16.42338,-62,-52,User hit peer's target,-0.8675522,0.293435,-0.2200043,341.8228,72.74944,357.4509,-0.5701029,-0.00715449,-0.2792476,330.4679,83.33305,55.68982
16.68969,-63,-52,User missed,-0.8719916,0.292267,-0.2313348,343.8998,78.8084,355.0587,-0.5514237,-0.03704575,-0.2929857,343.8174,80.40242,60.67962
16.76749,-63,-53,Peer missed,-0.8725094,0.2915461,-0.2312559,344.6913,79.20947,354.9911,-0.5560552,-0.04689392,-0.2885015,344.6534,80.69134,61.1016
16.9229,-64,-52,User hit peer's target,-0.8734333,0.290291,-0.23141,346.2211,80.93926,355.1019,-0.5405689,-0.07648972,-0.297503,354.2184,81.8702,63.78945
