Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 03:28:54.4058761,0.9328783,-0.02768806,0.03259838,-0.177467,353.3464,214.0743,359.313,-0.220547,-0.3951889,-0.3291472,20.83433,221.6378,359.1254
2018/06/28 - 03:28:54.4148535,0.9441531,-0.02780947,0.03241926,-0.1764675,353.2517,214.0325,359.3358,-0.2212194,-0.3945109,-0.3290491,20.7262,221.6017,359.0856
2018/06/28 - 03:28:54.4288492,0.9550569,-0.02796209,0.03231387,-0.1756013,353.1624,214.0977,359.5338,-0.221937,-0.3937905,-0.3288323,20.58296,221.5837,359.0158
2018/06/28 - 03:28:54.4378254,0.9676896,-0.02819756,0.03224928,-0.1749302,352.9482,214.1145,359.7048,-0.2227391,-0.3929596,-0.3282804,20.37278,221.6021,358.9041
2018/06/28 - 03:28:54.4497931,0.9775177,-0.02847019,0.03227702,-0.1742383,352.7329,214.1278,359.8823,-0.2236167,-0.3921231,-0.3275898,20.16882,221.6577,358.7897
2018/06/28 - 03:28:54.4607635,0.9885052,-0.0288854,0.03223081,-0.1735606,352.3542,214.1061,0.0506001,-0.2247073,-0.3911021,-0.3270501,19.94876,221.7963,358.6868
2018/06/28 - 03:28:54.4707376,0.9992214,-0.02937195,0.03231258,-0.1730595,352.0465,214.139,0.2024011,-0.225816,-0.3900472,-0.3264488,19.74884,221.9325,358.6199
2018/06/28 - 03:28:54.4837016,1.010446,-0.02994891,0.03249103,-0.1726845,351.7748,214.2245,0.2967002,-0.2270075,-0.3888098,-0.3258181,19.5222,222.0157,358.5335
2018/06/28 - 03:28:54.4926787,1.022313,-0.03059873,0.03270783,-0.1723542,351.4684,214.2598,0.3342217,-0.2282018,-0.3875286,-0.3252022,19.25774,222.022,358.4155
2018/06/28 - 03:28:54.5056712,1.032755,-0.03118965,0.03292642,-0.1720264,351.1862,214.3818,0.3481719,-0.2294581,-0.3861789,-0.324562,18.93454,221.9624,358.2685
2018/06/28 - 03:28:54.5146258,1.043816,-0.03182791,0.03314734,-0.1716077,350.9659,214.427,0.3383942,-0.2307581,-0.3848296,-0.3239361,18.59865,221.8907,358.1305
2018/06/28 - 03:28:54.5275905,1.054601,-0.03243485,0.03345093,-0.1712528,350.7497,214.5215,0.2750881,-0.2321916,-0.3835025,-0.3234336,18.29846,221.7978,358.0547
2018/06/28 - 03:28:54.5375648,1.066073,-0.03296423,0.03380113,-0.1707917,350.5779,214.5873,0.1856286,-0.2337573,-0.3822675,-0.3231241,18.04616,221.7271,358.0855
2018/06/28 - 03:28:54.5495330,1.076756,-0.03344043,0.03419023,-0.1705471,350.3801,214.7023,0.05087331,-0.2354281,-0.3810583,-0.3229445,17.85329,221.7256,358.1452
2018/06/28 - 03:28:54.5605040,1.088159,-0.03400505,0.03452852,-0.1702452,350.1143,214.7797,0.01444214,-0.2373069,-0.3798599,-0.3229457,17.75204,221.8124,358.188
2018/06/28 - 03:28:54.5704820,1.099305,-0.03453405,0.03481064,-0.1700022,349.8459,214.855,-0.004169828,-0.2392643,-0.3786123,-0.3229491,17.64035,221.8966,358.1549
2018/06/28 - 03:28:54.5824443,1.110404,-0.03506393,0.03504938,-0.1698433,349.4735,215.0335,359.9134,-0.2413642,-0.3773065,-0.3230431,17.47898,221.9782,358.0529
2018/06/28 - 03:28:54.5934147,1.121359,-0.03559292,0.03533536,-0.1697498,349.0265,215.2002,359.7407,-0.2434431,-0.3759572,-0.3231235,17.25862,222.1256,357.9958
2018/06/28 - 03:28:54.6043860,1.133455,-0.03605689,0.03572473,-0.1696089,348.7487,215.3954,359.5639,-0.2456135,-0.3745818,-0.3233122,16.97912,222.3364,358.0079
2018/06/28 - 03:28:54.6153564,1.14366,-0.03649338,0.03612052,-0.1695415,348.462,215.569,359.4112,-0.2477781,-0.3732103,-0.3236468,16.60591,222.5026,357.9963
2018/06/28 - 03:28:54.6273247,1.154993,-0.03706927,0.03665191,-0.1700281,348.2298,215.7169,359.253,-0.2498352,-0.3719017,-0.3238781,16.11681,222.6111,357.9376
2018/06/28 - 03:28:54.6372976,1.165744,-0.03764109,0.0370598,-0.1704078,347.9768,215.8636,359.2315,-0.2516075,-0.3710064,-0.3241654,15.11721,222.7152,358.0226
2018/06/28 - 03:28:54.6502633,1.177046,-0.03787426,0.03744651,-0.1703624,347.83,216.0162,359.1342,-0.2533497,-0.3702607,-0.3246292,14.37354,222.9591,358.3767
2018/06/28 - 03:28:54.6612338,1.188818,-0.03833801,0.03772162,-0.1705054,347.5991,216.1064,359.2147,-0.2549515,-0.369687,-0.3254801,13.70655,223.3431,359.143
2018/06/28 - 03:28:54.6722230,1.199891,-0.03879448,0.03803859,-0.1708446,347.3575,216.2211,359.1841,-0.2565289,-0.3690203,-0.3265414,12.99535,223.852,0.0254006
2018/06/28 - 03:28:54.6831741,1.211194,-0.039049,0.03832725,-0.1708707,347.1699,216.3817,359.1494,-0.2579387,-0.3684084,-0.3277165,12.15711,224.5351,1.035053
2018/06/28 - 03:28:54.6931489,1.222327,-0.03934934,0.0385481,-0.1708675,346.9001,216.5156,359.0694,-0.2592483,-0.3678532,-0.3287607,11.28996,225.2039,1.881194
2018/06/28 - 03:28:54.7061127,1.233178,-0.03967003,0.03878648,-0.1708686,346.6731,216.6471,359.0485,-0.2603609,-0.3674068,-0.3298994,10.52594,225.6774,2.576642
2018/06/28 - 03:28:54.7160859,1.244632,-0.03997878,0.03905626,-0.1709721,346.5188,216.7527,358.9627,-0.2614133,-0.3669538,-0.3310291,9.81843,225.8457,3.110893
2018/06/28 - 03:28:54.7290514,1.255756,-0.04036492,0.03930249,-0.1713071,346.3882,216.8813,358.9119,-0.2624237,-0.3666774,-0.3321137,9.281218,225.8026,3.40026
2018/06/28 - 03:28:54.7420166,1.26696,-0.04051598,0.03939136,-0.1710403,346.2966,216.9928,358.8278,-0.2635983,-0.3665844,-0.3331912,9.189062,225.7563,3.460642
2018/06/28 - 03:28:54.7519901,1.280153,-0.04064923,0.03950207,-0.1706478,346.2309,217.0969,358.7409,-0.2648699,-0.3665194,-0.3342705,9.43583,225.7548,3.309184
2018/06/28 - 03:28:54.7629605,1.291327,-0.04124392,0.03972827,-0.1707359,345.992,217.2979,358.7265,-0.2672876,-0.36596,-0.3363712,9.622926,225.837,2.909718
2018/06/28 - 03:28:54.7719364,1.301163,-0.04144856,0.03993795,-0.1709383,346.0251,217.2911,358.6649,-0.2682226,-0.3654757,-0.3371561,9.758617,225.745,2.245303
2018/06/28 - 03:28:54.7839047,1.311867,-0.04145444,0.0399606,-0.1713785,346.0402,217.2552,358.6857,-0.2677728,-0.3653253,-0.3368152,9.754126,225.4837,1.782831
2018/06/28 - 03:28:54.7958726,1.322739,-0.04175278,0.04014973,-0.1716899,345.9624,217.2888,358.7,-0.2683729,-0.3648442,-0.3374244,9.707247,225.1313,1.178101
2018/06/28 - 03:28:54.8058461,1.335303,-0.04199246,0.04039557,-0.1718934,345.8719,217.3204,358.6432,-0.2687914,-0.3642288,-0.3379269,9.645258,224.6883,0.4832927
