Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:39:54.9141002,0.7784248,0.08215424,0.001418718,0.02031177,0.9524679,307.9529,2.362736,-0.1467637,-0.4006828,0.07957305,2.888884,307.2426,15.89189
2018/06/29 - 02:39:54.9260688,0.7899931,0.08166513,0.0009129018,0.02021923,1.557768,308.3378,2.458524,-0.1471432,-0.4021887,0.08073205,3.486592,306.8244,16.03089
2018/06/29 - 02:39:54.9361068,0.8005958,0.08119344,0.0003963446,0.02011236,2.173739,308.6938,2.56837,-0.147459,-0.4035434,0.08173411,3.983832,306.5739,16.29704
2018/06/29 - 02:39:54.9490703,0.8120003,0.08069005,-0.0001252051,0.01995917,2.76862,309.0332,2.718927,-0.1478318,-0.4048712,0.08278595,4.49574,306.4368,16.65087
2018/06/29 - 02:39:54.9580297,0.8234435,0.08016039,-0.0007359169,0.01983671,3.260686,309.2893,2.753637,-0.1483156,-0.4062103,0.08387078,5.139863,306.3943,17.08119
2018/06/29 - 02:39:54.9709952,0.8341047,0.07954053,-0.001258557,0.01964384,3.848681,309.6422,2.83307,-0.1489107,-0.4074793,0.08503494,5.920806,306.2065,17.47678
2018/06/29 - 02:39:54.9809676,0.844923,0.07901874,-0.001884519,0.01946034,4.41358,309.9299,2.961832,-0.1496177,-0.4085682,0.08612029,6.631933,305.8157,17.98164
2018/06/29 - 02:39:54.9919380,0.8558516,0.07849687,-0.002482525,0.01916699,5.046099,310.2204,2.999824,-0.1501319,-0.4096464,0.08717976,7.253751,305.4796,18.47764
2018/06/29 - 02:39:55.0039071,0.8674697,0.07792403,-0.003159275,0.01890191,5.637598,310.5251,3.068936,-0.1504526,-0.4104823,0.08837716,7.728274,305.1909,18.91493
2018/06/29 - 02:39:55.0138811,0.8781528,0.07729712,-0.003820237,0.01852119,6.24855,310.8809,3.140007,-0.150439,-0.4112111,0.08978823,8.021927,305.1447,18.99007
2018/06/29 - 02:39:55.0278430,0.8895877,0.07670913,-0.004482349,0.01816761,6.815192,311.1549,3.24526,-0.1503795,-0.4118159,0.09126268,8.383118,305.1361,18.9697
2018/06/29 - 02:39:55.0368181,0.9026533,0.07618512,-0.005026452,0.01776515,7.430201,311.4061,3.326641,-0.1500278,-0.4119774,0.09293245,8.654901,305.3566,19.01308
2018/06/29 - 02:39:55.0477888,0.9123111,0.07561135,-0.005594612,0.01732822,7.946568,311.6699,3.358272,-0.1496006,-0.4121701,0.09459189,8.880286,305.6305,19.21948
2018/06/29 - 02:39:55.0577622,0.9225568,0.0750732,-0.006130051,0.01694664,8.376289,311.9614,3.473874,-0.1488608,-0.4120473,0.09639618,9.05663,305.9988,19.44014
2018/06/29 - 02:39:55.0697302,0.9338506,0.07451809,-0.006629376,0.01655414,8.807565,312.2839,3.561045,-0.1478779,-0.411905,0.09830133,9.252398,306.5434,19.63028
2018/06/29 - 02:39:55.0816999,0.9446327,0.07398893,-0.007050422,0.01607172,9.221867,312.6761,3.640889,-0.1465943,-0.4115154,0.100514,9.384477,307.3846,19.70913
2018/06/29 - 02:39:55.0926968,0.9561757,0.07354014,-0.007447166,0.01557904,9.637615,313.0586,3.708875,-0.145139,-0.4109969,0.1026962,9.35864,308.1181,19.71496
2018/06/29 - 02:39:55.1036504,0.967997,0.07300303,-0.007897099,0.01507093,9.997055,313.4648,3.679551,-0.143427,-0.4102576,0.1049923,9.234378,308.8687,19.64742
2018/06/29 - 02:39:55.1136210,0.9779149,0.07247686,-0.008259089,0.01454115,10.32735,313.9294,3.693506,-0.1416177,-0.4094357,0.1072773,9.21288,309.6933,19.60694
2018/06/29 - 02:39:55.1255807,0.9894372,0.07205337,-0.008644074,0.014105,10.6276,314.4009,3.84813,-0.1396923,-0.4086109,0.1094539,9.1299,310.5619,19.66786
2018/06/29 - 02:39:55.1355553,1.000124,0.07162908,-0.008915353,0.01355666,10.8891,314.9517,3.839678,-0.1376307,-0.4076701,0.1115935,8.873713,311.4056,19.79211
2018/06/29 - 02:39:55.1485206,1.011498,0.07124659,-0.009183307,0.01304648,11.11201,315.5305,3.819088,-0.1354548,-0.4067234,0.1137406,8.601389,312.2005,19.78386
2018/06/29 - 02:39:55.1574953,1.022697,0.07095341,-0.00940451,0.01256017,11.30946,316.201,3.896937,-0.1330757,-0.4057098,0.1159988,8.259755,313.0434,19.65105
2018/06/29 - 02:39:55.1704611,1.033346,0.07077496,-0.009581296,0.01210548,11.39158,316.8657,3.998404,-0.1306336,-0.4047008,0.1182543,7.94044,313.9106,19.42366
2018/06/29 - 02:39:55.1814324,1.045062,0.07055064,-0.009599277,0.01157806,11.47426,317.6251,4.117629,-0.1283189,-0.4035995,0.120403,7.662059,314.811,19.15249
2018/06/29 - 02:39:55.1924020,1.055861,0.07035142,-0.009612789,0.01107985,11.47776,318.333,4.168427,-0.1261697,-0.4024768,0.1224294,7.401558,315.5636,19.07798
2018/06/29 - 02:39:55.2043708,1.067355,0.07030351,-0.009522754,0.01056785,11.43003,319.0546,4.37197,-0.1242312,-0.4011964,0.1242781,7.060794,316.1743,19.2007
2018/06/29 - 02:39:55.2133464,1.078207,0.07017605,-0.00935908,0.01001859,11.34368,319.8103,4.446311,-0.1223484,-0.3999429,0.1261532,6.718668,316.8719,19.4014
2018/06/29 - 02:39:55.2253147,1.089159,0.07012773,-0.009079948,0.009460015,11.15471,320.618,4.533019,-0.1204795,-0.3986942,0.128003,6.377097,317.645,19.63309
2018/06/29 - 02:39:55.2362857,1.100418,0.07009017,-0.008761062,0.008895671,10.87002,321.5246,4.636905,-0.1185253,-0.3975838,0.1298275,6.051682,318.4968,19.79033
2018/06/29 - 02:39:55.2478053,1.111775,0.07007354,-0.00842964,0.008423839,10.5304,322.4306,4.721932,-0.1164517,-0.3966434,0.1317234,5.815761,319.4006,19.7653
